"Gene","metaRanking","RP"
"RNU6-690P",669,1199
"SNORD115-3",670,1201
"RNU6-937P",671,1202
"NPIPB6",672,1204
"MIR4435-1HG",673,1207
"TERF1P3",674,1208
"LOC101928879",675,1210
"RN7SL555P",676,1211
"RPL27",677,1211
"RNU6-147P",678,1212
"RNU1-117P",679,1214
"LOC283435",680,1216
"OR7E162P",681,1218
"RN7SKP132",682,1220
"HLA-L",683,1222
"FAM210B",684,1223
"EMC4",685,1223
"RNU6-1004P",686,1224
"TEN1",687,1224
"RN7SKP46",688,1225
"RN7SKP280",689,1226
"SMIM12",690,1228
"RNU2-33P",691,1228
"RN7SL581P",692,1230
"CHL1-AS2",693,1231
"SMG1P1",694,1234
"LOC100507646",695,1236
"RN7SL49P",696,1237
"C15orf61",697,1240
"RNU4-59P",698,1240
"KHNYN",699,1243
"YBX1P10",700,1244
"RN7SL302P",701,1246
"OR7E85P",702,1247
"ANAPC16",703,1249
"RN7SL352P",704,1250
"BAK1P2",705,1252
"RNU6-619P",706,1253
"RPL36A-HNRNPH2",707,1254
"RNU6-974P",708,1257
"RP11-403P17.4",709,1260
"RN7SL554P",710,1262
"RNU6-78P",711,1263
"RNU4-35P",712,1265
"MIR1244-3",713,1268
"TMSB4XP2",714,1269
"PIEZO1P1",715,1272
"RN7SL598P",716,1273
"RNU6ATAC9P",717,1277
"AP5Z1",718,1279
"RN7SL401P",719,1281
"TVP23C",720,1283
"LAMTOR5P1",721,1284
"LINC00092",722,1285
"ZNRF3-AS1",723,1286
"RN7SKP284",724,1290
"SLC15A5",725,1291
"RN7SL502P",726,1293
"FAM192A",727,1294
"RMRPP5",728,1296
"OR7E18P",729,1299
"RNA5SP43",730,1300
"RNU6-929P",731,1302
"OR7E97P",732,1304
"KRTAP2-4",733,1309
"RNU6-270P",734,1310
"DICER1-AS1",735,1314
"RN7SL58P",736,1314
"EBLN1",737,1316
"GOLGA8O",738,1318
"RNU6-792P",739,1319
"RNU6-1107P",740,1321
"RNU6-1215P",741,1324
"RN7SKP240",742,1326
"RP3-507I15.1",743,1327
"HMGB1P4",744,1330
"RNU6-679P",745,1331
"RNU6-132P",746,1333
"SDF4",747,1334
"RNA5SP154",748,1334
"EEF1DP1",749,1339
"RPS15AP11",750,1340
"TIMMDC1",751,1342
"RNA5SP512",752,1343
"HDHD1",753,1344
"RNU2-66P",754,1345
"NDUFB1P1",755,1348
"KRT16P2",756,1350
"LOC729468",757,1352
"RN7SKP293",758,1356
"PPP6R1",759,1356
"OR7E31P",760,1358
"RNU1-45P",761,1360
"RN7SKP225",762,1361
"MIA-RAB4B",763,1362
"RPL22P22",764,1363
"RNY4P27",765,1364
"RNU6-827P",766,1366
"RNU2-36P",767,1367
"BC033528",768,1369
"RNU4ATAC17P",769,1371
"RPS2P2",770,1373
"C8orf82",771,1374
"RN7SL122P",772,1375
"RN7SL580P",773,1376
"DAZAP2P1",774,1378
"OR11I1P",775,1380
"RN7SL98P",776,1381
"LRRC75A-AS1",777,1382
"MPC1L",778,1382
"RN7SL706P",779,1384
"RNU6-273P",780,1388
"RN7SKP25",781,1389
"WRAP53",782,1389
"RNU1-14P",783,1391
"RN7SL162P",784,1395
"PLEKHS1",785,1396
"RNU6-486P",786,1396
"LINC00654",787,1397
"RNU6-598P",788,1398
"KTN1-AS1",789,1399
"ZCCHC18",790,1402
"RNU6-113P",791,1404
"RNU6-119P",792,1406
"RNU6-1206P",793,1411
"LINC00276",794,1413
"RN7SKP238",795,1415
"RNU6-1093P",796,1416
"RPL13P5",797,1418
"ENGASE",798,1419
"RNU6-710P",799,1419
"RN7SKP185",800,1421
"RNU4-27P",801,1424
"PGPEP1L",802,1426
"RNU6-896P",803,1427
"RPS17P2",804,1431
"PFN1P2",805,1432
"OR4A13P",806,1434
"RN7SL466P",807,1435
"RPL38",808,1436
"MIR516B2",809,1437
"RPS4XP21",810,1439
"LOC729307",811,1440
"MIR6805",812,1443
"LRRC71",813,1444
"RNU6ATAC37P",814,1445
"RNU6-800P",815,1448
"RNU6-601P",816,1451
"RNU2-23P",817,1456
"RNU6-481P",818,1458
"RN7SL826P",819,1463
"LINC00686",820,1464
"KMT2E",821,1465
"RN7SL791P",822,1466
"RNU6-1224P",823,1468
"RNU6-254P",824,1470
"RN7SKP110",825,1472
"OR4Q2",826,1474
"RNU6-369P",827,1476
"WTH3DI",828,1478
"HSP90AA5P",829,1481
"RN7SKP59",830,1483
"CLEC19A",831,1485
"LRRC3DN",832,1487
"NPM1P22",833,1489
"LOC440028",834,1490
"RP1-305G21.1",835,1492
"RNU1-95P",836,1493
"LINC00575",837,1496
"SNORD115-2",838,1497
"RNA5SP91",839,1499
"RNU6-985P",840,1501
"RNU2-48P",841,1503
